date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2011-08-01,218756,703,583,660,221,12
2011-08-16,536960,814,345,074,005,62
2011-09-01,724533,847,021,533,821,85
2011-09-16,731198,384,645,812,589,28
2011-10-01,511052,957,104,189,499,15
2011-10-16,955756,991,057,329,507,83
2011-11-01,805540,771,380,065,221,54
2011-11-16,997777,425,551,406,993,57
2011-12-01,408147,922,253,857,739,02
2011-12-16,884178,784,235,651,295,21
2011-12-30,526402,168,026,541,597,65
2012-01-16,451445,328,150,941,639,81
2012-02-01,320605,749,426,498,598,32
2012-02-16,648684,906,214,111,420,18
2012-03-01,222518,295,135,711,199,79
2012-03-16,607064,606,333,573,350,08
2012-04-01,257562,581,074,616,332,69
2012-04-16,583470,216,088,722,754,62
2012-05-02,889501,589,597,426,468,29
2012-05-16,814418,504,309,902,101,31
2012-06-01,882727,606,576,895,399,38
2012-06-16,159373,238,790,479,547,51
2012-07-01,915900,715,656,530,611,60
2012-07-16,904050,897,224,159,042,11
2012-08-01,895590,820,599,796,745,50
2012-08-16,683877,032,612,775,730,28
2012-09-01,329997,736,598,148,639,07
2012-09-16,540143,242,752,123,770,79
2012-10-01,124025,940,554,291,873,58
2012-10-16,281343,152,089,396,868,28
2012-11-01,524694,217,188,285,338,63
2012-11-16,639500,576,560,804,627,15
2012-12-01,110443,434,553,489,303,43
2012-12-16,529524,734,745,778,008,72
2012-12-30,302358,589,864,126,832,00
2013-01-16,820981,555,196,374,334,08
2013-02-01,565566,452,695,641,782,66
2013-02-16,368257,657,708,109,386,09
2013-03-01,976241,972,721,133,775,37
2013-03-16,968433,860,959,175,529,52
2013-04-01,571688,170,430,670,725,53
2013-04-16,843846,834,862,906,828,86
2013-05-02,603458,272,359,516,830,07
2013-05-16,687125,034,261,390,945,56
2013-06-01,935489,480,713,716,768,90
2013-06-16,289673,390,098,114,502,69
2013-07-01,646905,075,284,903,904,51
2013-07-16,566996,352,210,584,526,86
2013-08-01,356435,880,451,718,329,82
2013-08-16,321327,417,945,448,201,20
2013-09-01,548123,281,570,800,045,05
2013-09-16,562684,056,235,574,754,63
2013-10-01,647882,576,324,650,028,14
2013-10-16,963289,402,529,876,952,60
2013-11-01,739804,502,020,256,173,47
2013-11-16,806925,069,304,672,753,28
2013-12-01,168795,734,766,074,980,27
2013-12-16,341767,111,228,742,826,79
2013-12-30,561072,513,750,503,275,48
2014-01-16,306902,242,077,149,510,52
2014-02-01,180149,406,492,888,976,95
2014-02-16,384245,397,530,074,521,01
2014-03-01,906318,116,537,753,798,35
2014-03-16,531404,250,305,400,904,79
2014-04-01,028866,186,499,835,938,95
2014-04-16,153406,344,013,355,634,26
2014-05-02,103297,143,158,673,797,52
2014-05-16,087523,150,505,112,246,20
2014-06-01,781198,160,324,409,636,18
2014-06-16,673920,158,140,639,576,95
2014-07-01,378477,123,271,441,864,39
2014-07-16,468728,104,944,117,205,45
2014-08-01,766391,349,576,623,637,82
2014-08-16,662842,639,912,187,633,91
2014-09-01,856763,308,912,477,490,22
2014-09-16,772269,112,257,342,790,35
2014-10-01,375615,251,086,159,520,44
2014-10-16,656409,647,784,848,910,94
2014-11-01,206608,607,203,855,979,44
2014-11-16,479804,179,422,480,709,25
2014-12-01,480449,820,380,580,161,11
2014-12-16,948354,080,763,775,901,90
2014-12-30,461704,853,982,535,950,57
2015-01-16,244351,068,398,595,877,74
2015-02-01,155537,083,286,813,008,79
2015-02-16,001864,843,103,825,392,90
2015-03-01,240237,498,031,857,008,34
2015-03-16,048151,339,622,623,757,92
2015-04-01,605704,558,962,557,861,70
2015-04-16,506260,101,164,495,973,38
2015-05-02,543466,818,163,366,195,30
2015-05-16,011421,799,484,851,928,38
2015-06-02,388881,314,700,876,969,65
2015-06-16,644742,429,253,386,532,05
2015-07-01,759049,565,814,081,567,26
2015-07-16,121507,761,461,830,294,49
2015-08-01,518677,333,598,648,889,53
2015-08-16,033363,781,227,624,648,40
2015-09-01,021094,260,403,068,819,89
2015-09-16,743148,435,209,375,084,06
2015-10-01,594825,175,918,440,799,07
2015-10-16,968630,457,134,412,054,62
2015-11-01,361211,106,757,166,473,45
2015-11-16,795283,241,028,643,802,03
2015-12-01,915350,238,181,714,175,78
2015-12-17,930255,140,250,094,638,08
2015-12-30,008217,246,264,596,895,02
2016-01-17,304371,031,532,743,786,50
2016-02-01,927800,625,999,054,076,09
2016-02-16,356364,312,699,309,535,98
2016-03-01,439686,426,530,155,743,06
2016-03-16,134918,855,877,004,973,32
2016-04-01,066720,390,546,285,852,92
2016-04-16,221609,008,228,507,523,87
2016-05-02,399459,238,403,046,671,02
2016-05-16,141737,382,975,087,268,98
2016-06-01,511825,111,775,880,937,14
2016-06-16,073816,251,804,321,749,79
2016-07-01,082460,169,609,173,302,53
2016-07-16,449764,552,734,158,925,55
2016-08-01,272932,538,983,472,871,57
2016-08-16,254004,366,966,596,631,33
2016-09-01,638684,334,335,630,669,62
2016-09-16,240650,493,583,043,160,42
2016-10-01,887102,194,280,017,458,33
2016-10-16,571947,692,885,032,587,98
2016-11-01,785438,824,976,038,752,86
2016-11-16,858383,040,682,558,570,44
2016-12-01,086069,513,873,148,450,77
2016-12-16,435286,366,596,199,716,35
2016-12-30,377712,304,890,477,769,46
2017-01-17,145157,511,663,516,836,25
2017-02-01,054672,066,807,426,628,42
2017-02-16,229116,128,464,375,953,14
2017-03-01,978453,450,560,052,577,78
2017-03-16,273863,324,918,694,941,92
2017-04-01,392785,020,057,500,709,80
2017-04-16,816729,766,973,241,807,40
2017-05-02,008656,573,949,773,923,35
2017-05-16,454891,008,396,490,603,53
2017-06-01,053630,121,218,581,881,61
2017-06-16,943142,626,878,373,740,47
2017-07-01,112360,226,489,005,688,26
2017-07-16,820327,584,835,390,823,87
2017-08-01,756519,061,386,787,989,36
2017-08-16,715431,115,302,253,945,37
2017-09-01,143224,345,679,195,278,65
2017-09-16,170143,172,647,340,388,71
2017-10-01,880714,611,726,462,952,52
2017-10-16,413494,180,971,128,287,86
2017-11-01,533726,165,425,036,485,85
2017-11-16,292391,831,961,477,628,98
